date,category,amount,description
01-06-2025,Food,320.0,Grocery shopping at DMart
02-06-2025,Travel,150.0,Ola auto to office
03-06-2025,Bills,999.0,Airtel mobile recharge
04-06-2025,Food,85.0,Lunch at canteen
05-06-2025,Entertainment,599.0,Netflix monthly plan
06-06-2025,Travel,420.0,Uber cab to airport
07-06-2025,Shopping,1499.0,Casual t-shirts from Myntra
08-06-2025,Health,350.0,Pharmacy medicines
09-06-2025,Food,210.0,Dinner at restaurant
10-06-2025,Bills,1400.0,Electricity bill
11-06-2025,Travel,80.0,Bus pass recharge
12-06-2025,Food,450.0,Weekend brunch with friends
13-06-2025,Shopping,2199.0,Formal shoes
14-06-2025,Health,800.0,Doctor consultation
15-06-2025,Entertainment,249.0,Spotify premium
16-06-2025,Food,130.0,Evening snacks
17-06-2025,Bills,600.0,Internet broadband bill
18-06-2025,Travel,200.0,Rapido bike ride
19-06-2025,Food,380.0,Grocery restock
20-06-2025,Shopping,999.0,Water bottle and accessories
21-06-2025,Health,450.0,Gym monthly fee
22-06-2025,Food,95.0,Tea and snacks
23-06-2025,Entertainment,349.0,Amazon Prime renewal
24-06-2025,Travel,550.0,Cab to railway station
25-06-2025,Bills,250.0,Gas cylinder booking
26-06-2025,Food,275.0,Office lunch
27-06-2025,Shopping,3499.0,Wireless earphones
28-06-2025,Health,120.0,Vitamin supplements
29-06-2025,Food,190.0,Swiggy dinner order
30-06-2025,Travel,310.0,Weekend trip fuel
01-07-2025,Food,450.0,Lunch at office
02-07-2025,Travel,850.0,Ola cab to airport
03-07-2025,Bills,1200.0,Electricity bill July
04-07-2025,Food,320.0,Groceries from Zepto
05-07-2025,Shopping,2100.0,New running shoes
06-07-2025,Entertainment,599.0,Netflix subscription
07-07-2025,Health,450.0,Pharmacy visit
08-07-2025,Food,185.0,Breakfast and coffee
09-07-2025,Travel,220.0,Metro card recharge
10-07-2025,Bills,499.0,Mobile postpaid bill
11-07-2025,Food,310.0,Lunch delivery Zomato
12-07-2025,Shopping,1799.0,Summer clothes Ajio
13-07-2025,Health,900.0,Blood test checkup
14-07-2025,Entertainment,199.0,YouTube Premium
15-07-2025,Food,260.0,Grocery top up
16-07-2025,Travel,480.0,Cab to office and back
17-07-2025,Bills,350.0,Water purifier service
18-07-2025,Food,420.0,Team lunch
19-07-2025,Shopping,649.0,Kitchen organiser
20-07-2025,Health,550.0,Gym fee July
